oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
661938,55.972971541670006,23.697544826069997,"Cl Melotte   22   208",1.4624,-2.29,11.848,-4.657
661772,55.977650646,23.752840706,"Cl Melotte   22   215",0.8454,-19.51,0.525,-10.543
661657,55.95703669011,23.79652453039,"Cl Melotte   22   216",0.5614,27.71,1.586,-1.744
661346,55.99800303907,24.14780428066,"Cl Melotte   22   234",2.802,14.45,10.745,-13.855
661659,56.002478158323335,23.54394288453361,"Cl Melotte   22   248",7.2975,7.56047,19.559,-44.752
661482,56.01769360900167,24.98983751553555,"Cl Melotte   22   250",6.8408,3.54921,18.686,-47.788
661953,55.99948097391001,23.88952906796,"Cl Melotte   22   251",1.4504,79.07,12.805,-8.877
660871,56.02350739401,25.198757207859998,"Cl Melotte   22   255",2.261,-2.82,15.3,-7.233
6347766,56.01358615829,24.131820519910004,"Cl Melotte   22   257",2.9552,27.8,19.835,-4.751
661939,56.00900398114,23.60001953322,"Cl Melotte   22   258",1.0857,21.44,9.969,-4.974
661320,56.01616143856,24.18916197915,"Cl Melotte   22   259",1.0139,8.76,2.719,-5.233
661318,56.02239380675,24.39674635398,"Cl Melotte   22   264",0.2457,96.36,6.057,-6.639
6347767,56.01372889144,23.45478918919,"Cl Melotte   22   265",5.4154,80.88,7.03,-19.0
661319,56.02737873702999,24.33650706263,"Cl Melotte   22   268",3.469,33.58,30.581,-24.556
661321,56.03111548143,24.51991316271,"Cl Melotte   22   272",0.2777,0.29,2.761,-1.596
3572156,56.04133997716,24.24714509863,"Cl Melotte   22   281",3.0711,-12.62,3.183,-24.91
661352,56.0525381116191,24.7376007330778,"Cl Melotte   22   285",3.1937,8.54,3.152,-15.914
661366,56.0540014945,24.557394312429995,"Cl Melotte   22   289",1.6495,-36.81,-0.874,-6.539
11684586,56.068727561630006,24.27283964193,"Cl Melotte   22   309",3.2569,-16.68,0.225,-29.655
661940,56.07066665894,23.37420634104,"Cl Melotte   22   315",2.3234,82.958,25.418,-2.568
661454,56.08215326205,24.55859207645,"Cl Melotte   22   318",1.0702,-33.87,3.044,-7.633
661344,56.0810751209,24.260813727899997,"Cl Melotte   22   322",2.0273,-9.37,13.856,-30.194
661941,56.08529854987,23.51778221913,"Cl Melotte   22   332",0.9312,35.236,15.938,-3.831
660980,56.10121568822,24.42624683374,"Cl Melotte   22   339",0.6462,-6.12,3.066,-7.216
661918,56.09839148865,23.668970324469996,"Cl Melotte   22   343",1.4846,28.31,9.358,2.007
661368,56.1232033207,24.714821240400003,"Cl Melotte   22   360",1.7079,-26.89,-11.363,-20.37
661754,56.1332418,23.8752031,"Cl Melotte   22   370",7.3,6.47534,19.6,-48.0
14745331,56.13333392895,23.87505115824001,"Cl Melotte   22   370 A",7.3674,5.9694,19.579,-45.423
14746884,56.13312623646501,23.875418291095833,"Cl Melotte   22   370 B",7.3572,6.479,19.613,-46.535
661944,56.143506568650004,23.723977020739998,"Cl Melotte   22   387",1.4635,46.162749,-4.202,5.194
660994,56.146832737240004,24.062772686139997,"Cl Melotte   22   388",0.673,-27.19,0.758,-4.412
661350,56.16413800313,24.51067314133,"Cl Melotte   22   404",3.9868,4.32,5.841,-16.877
661351,56.17239792458,24.39938821988,"Cl Melotte   22   412",6.6777,13.75,-39.194,9.529
661945,56.16420772295999,23.36445237643,"Cl Melotte   22   415",1.2615,15.43,-4.933,-12.127
661370,56.192444301349994,24.73024764353,"Cl Melotte   22   438",1.306,-73.71,-11.242,-16.167
661455,56.21111357582,24.889012558960005,"Cl Melotte   22   453",3.331,-21.434,2.978,-3.914
661371,56.20475099741999,24.163297280119995,"Cl Melotte   22   454",0.7542,36.56,5.995,-5.429
661372,56.20408378860001,24.054643532740002,"Cl Melotte   22   455",1.4833,-12.42,-4.698,-4.373
661946,56.20732277588,23.39052339015,"Cl Melotte   22   463",2.5548,-23.9,26.974,-29.396
661373,56.22815247487,24.730849522029995,"Cl Melotte   22   471",1.2955,-5.29,5.058,-5.76
661374,56.2356284014,24.787777799209998,"Cl Melotte   22   481",1.2136,-63.83,-3.918,-12.622
